"mean.vote.in.slot"	"age"	"in.temp"	"in.humid"	"out.temp"	"out.humid"	"in.temp.diff"	"in.humid.diff"	"out.temp.diff"	"out.humid.diff"	"week"	"hour"
1.5	42	24.2266666666667	65.8133333333333	33.200001	42	-0.32	0.239999999999995	0	-2	34	15
2	34	24.2266666666667	65.8133333333333	33.200001	42	-0.32	0.239999999999995	0	-2	34	15
-0.5	30	24.2533333333333	65.7933333333333	33.200001	42	0.0266666666666673	-0.019999999999996	0	0	34	16
1	39	24.32	65.9533333333333	33.200001	42	0.0666666666666664	0.159999999999997	0	0	34	16
0	41	24.32	65.9533333333333	33.200001	42	0.0666666666666664	0.159999999999997	0	0	34	16
3	33	24.32	65.9533333333333	33.200001	42	0.0666666666666664	0.159999999999997	0	0	34	16
3	33	25.18	64.6	33.1000013333333	43	0.859999999999999	-1.35333333333334	-0.0999996666666689	1	34	16
0	39	24.18	65.5066666666667	32.900002	45	-0.00666666666666771	0.24666666666667	0	0	34	17
1	34	23.7266666666667	65.6866666666667	33.200001	46	-0.0466666666666669	0.126666666666665	0.199999333333331	0.666666666666664	34	17
0.5	42	23.8333333333333	65.2733333333333	33.200001	46	0.119999999999997	-0.626666666666679	0	0	34	18
0.5	42	22.42	66.8933333333333	32.0000016666667	50.6666666666667	-0.0600000000000023	0.633333333333326	-0.400000333333331	1.66666666666666	34	19
0	39	25.96	73.3466666666667	27.6999996666667	72.3333333333333	-0.32	-0.0866666666666731	0.299999666666668	-1.66666666666667	34	9
1.5	34	25.2266666666667	72.6066666666667	28.299999	69	-0.733333333333334	-0.739999999999995	0.599999333333333	-3.33333333333333	34	9
1	39	24.9066666666667	73.3733333333333	28.299999	69	-0.32	0.766666666666666	0	0	34	10
0	41	24.9066666666667	73.3733333333333	28.299999	69	-0.32	0.766666666666666	0	0	34	10
-1	30	24.9066666666667	73.3733333333333	28.299999	69	-0.32	0.766666666666666	0	0	34	10
0	39	24.82	67.5933333333333	29.5	66	-0.153333333333332	-1.64666666666666	0.800000666666666	-2	34	10
3	33	24.82	67.5933333333333	29.5	66	-0.153333333333332	-1.64666666666666	0.800000666666666	-2	34	10
0	30	24.82	67.5933333333333	29.5	66	-0.153333333333332	-1.64666666666666	0.800000666666666	-2	34	10
2	34	23.84	68.6533333333333	29.5	66	-0.98	1.06	0	0	34	11
0	39	23.32	68.44	30.299999	63	-0.266666666666666	-0.146666666666661	0.533332666666666	-2	34	11
0	30	23.3333333333333	69.1533333333333	30.299999	63	0.0133333333333319	0.713333333333338	0	0	34	12
1	34	23.4466666666667	69.44	30.299999	63	0.113333333333333	0.286666666666662	0	0	34	12
-1	39	24.12	67.9866666666667	31.4	61	0.300000000000001	-0.706666666666663	0.733333999999999	-1.33333333333334	34	12
-1	39	23.56	67.0466666666667	32.5	55	-0.346666666666668	-0.593333333333334	0	0	34	14
2	34	23.56	67.0466666666667	32.5	55	-0.346666666666668	-0.593333333333334	0	0	34	14
0	30	23.2733333333333	67.72	32.5	55	-0.286666666666665	0.673333333333332	0	0	34	14
0	39	22.94	67.0133333333333	32.400002	50	-0.153333333333336	-0.11333333333333	0	0	34	15
0	30	22.86	67.86	32.6000013333333	49	-0.206666666666667	1.16666666666667	0.199999333333331	-1	34	15
0	39	22.8933333333333	67.8066666666667	33	47	0.0333333333333314	-0.0533333333333275	0.399998666666669	-2	34	15
3	33	22.64	69.1266666666667	33	47	-0.140000000000001	0.24666666666667	0	0	34	16
0	30	22.7133333333333	68.86	32.8000006666667	48.3333333333333	0.0733333333333341	-0.266666666666666	-0.199999333333331	1.33333333333334	34	16
0	39	22.7	68.58	32.400002	51	0.0599999999999987	-0.206666666666663	0	0	34	17
2.33333333333333	34	22.6466666666667	68.6866666666667	32.400002	51	-0.053333333333331	0.106666666666669	0	0	34	17
-1	30	22.6066666666667	69.1866666666667	31.966668	53.3333333333333	-0.0400000000000027	0.5	-0.433333999999999	2.33333333333334	34	17
3	34	22.8466666666667	69.6933333333333	31.0333333333333	59	0.0466666666666669	0.959999999999994	-0.0666666666666664	1	34	18
3	33	24.6733333333333	75.52	29.200001	69	-0.886666666666667	-1.36	0	0	34	10
0	41	24.6733333333333	75.52	29.200001	69	-0.886666666666667	-1.36	0	0	34	10
0	39	24.1466666666667	72.7933333333333	29.566667	67.3333333333333	-0.41333333333333	-1	0.366665999999999	-1.66666666666667	34	10
-1	39	24.1466666666667	73.3466666666667	30.299999	64	0.053333333333331	0.399999999999991	0	0	34	11
1	34	24.7733333333333	72.4133333333333	30.6	62	0.699999999999999	0.406666666666666	0	0	34	12
0	39	24.64	71.6333333333333	30.6	62	-0.133333333333333	-0.779999999999987	0	0	34	12
-0.5	30	24.64	71.6333333333333	30.6	62	-0.133333333333333	-0.779999999999987	0	0	34	12
1	34	23.4933333333333	70.1	31.1	55	-0.52	-0.700000000000003	0	0	34	13
1	39	23.4933333333333	70.1	31.1	55	-0.52	-0.700000000000003	0	0	34	13
1	34	23.3666666666667	69.3	31.1	55	-0.126666666666665	-0.799999999999997	0	0	34	13
0	41	23.3666666666667	69.3	31.1	55	-0.126666666666665	-0.799999999999997	0	0	34	13
1.5	42	23.3666666666667	69.3	31.1	55	-0.126666666666665	-0.799999999999997	0	0	34	13
0	30	23.3666666666667	69.3	31.1	55	-0.126666666666665	-0.799999999999997	0	0	34	13
0	30	23.6666666666667	68.6933333333333	31.1666663333333	55.6666666666667	0.300000000000001	-0.606666666666669	0.0666663333333339	0.666666666666664	34	13
0	39	23.5066666666667	68.08	31.299999	57	-0.16	-0.61333333333333	0.133332666666664	1.33333333333334	34	13
0	42	23.1066666666667	67.66	31.299999	57	-0.133333333333329	-0.579999999999998	0	0	34	14
0	34	23.1066666666667	67.66	31.299999	57	-0.133333333333329	-0.579999999999998	0	0	34	14
0	39	23.6666666666667	68.3266666666667	31.4	56	0.346666666666668	-0.0933333333333337	0.0666673333333314	-0.666666666666664	34	14
0	30	23.6666666666667	68.3266666666667	31.4	56	0.346666666666668	-0.0933333333333337	0.0666673333333314	-0.666666666666664	34	14
0	42	23.88	70.68	31.4	56	0.213333333333331	2.35333333333334	0	0	34	15
0	39	24.6266666666667	68.6266666666667	31.5000003333333	55.6666666666667	0.766666666666666	-1.2	0.100000333333334	-0.333333333333336	34	15
0	30	24.3133333333333	69.5333333333333	31.700001	55	-0.313333333333333	0.906666666666666	0.200000666666668	-0.666666666666664	34	15
0	42	24.2666666666667	70.5266666666667	31.700001	55	-0.18	0.766666666666666	0	0	34	16
1	34	24.1133333333333	70.78	31.9333346666667	54	-0.153333333333332	0.25333333333333	0.233333666666667	-1	34	16
0	41	24.2066666666667	75.3066666666667	32.400002	52	0.0933333333333337	4.52666666666667	0.466667333333334	-2	34	16
0	30	24.14	71.6733333333333	32.400002	52	-0.0666666666666664	-3.63333333333334	0	0	34	17
-1	33	24.14	71.6733333333333	32.400002	52	-0.0666666666666664	-3.63333333333334	0	0	34	17
0	39	24.14	71.6733333333333	32.400002	52	-0.0666666666666664	-3.63333333333334	0	0	34	17
0	42	22.12	75.24	28.1	70	0.253333333333334	1.45333333333333	0.266666000000001	1.33333333333333	34	19
2	34	27.7333333333333	64.38	29.799999	66	-0.446666666666665	0.153333333333322	1.06666533333333	-4	35	9
0	41	27.7333333333333	64.38	29.799999	66	-0.446666666666665	0.153333333333322	1.06666533333333	-4	35	9
0	39	27.7333333333333	64.38	29.799999	66	-0.446666666666665	0.153333333333322	1.06666533333333	-4	35	9
0	33	27.6333333333333	64.7866666666667	29.799999	66	-0.100000000000001	0.406666666666666	0	0	35	10
0.5	30	27.6333333333333	64.7866666666667	29.799999	66	-0.100000000000001	0.406666666666666	0	0	35	10
0	39	25.3666666666667	62.4333333333333	30.1333323333333	64.3333333333333	-1.44	-2.75999999999999	0.333333333333332	-1.66666666666667	35	10
1.5	42	25.3666666666667	62.4333333333333	30.1333323333333	64.3333333333333	-1.44	-2.75999999999999	0.333333333333332	-1.66666666666667	35	10
3	34	24.98	62.82	30.799999	61	-0.386666666666667	0.386666666666663	0.666666666666668	-3.33333333333333	35	10
0	33	24.98	62.82	30.799999	61	-0.386666666666667	0.386666666666663	0.666666666666668	-3.33333333333333	35	10
0	30	24.6866666666667	62.7933333333333	30.799999	61	-0.293333333333333	-0.0266666666666637	0	0	35	11
-0.5	41	24.6866666666667	62.7933333333333	30.799999	61	-0.293333333333333	-0.0266666666666637	0	0	35	11
0	39	24	63.2066666666667	31.0999996666667	59	-0.34	-0.433333333333337	0.300000666666666	-2	35	11
-1	33	23.9133333333333	63.7866666666667	31.700001	55	-0.086666666666666	0.580000000000005	0.600001333333335	-4	35	11
-1	41	23.6066666666667	65.0333333333333	31.700001	55	-0.306666666666668	1.24666666666666	0	0	35	12
0	30	23.6066666666667	65.0333333333333	31.700001	55	-0.306666666666668	1.24666666666666	0	0	35	12
1.5	42	23.7333333333333	66.1866666666667	31.700001	55	0.126666666666669	1.15333333333334	0	0	35	12
0	39	23.4066666666667	65.68	31.9333346666667	53.6666666666667	-0.326666666666668	-0.506666666666661	0.233333666666667	-1.33333333333334	35	12
3	34	23.8	67.9066666666667	32.400002	51	0.766666666666669	2.60666666666667	0	0	35	13
0	42	23.4933333333333	66.52	32.700001	49.3333333333333	-0.306666666666668	-1.38666666666667	0.299999	-1.66666666666666	35	13
1	33	23.4933333333333	66.52	32.700001	49.3333333333333	-0.306666666666668	-1.38666666666667	0.299999	-1.66666666666666	35	13
-1	41	23.4933333333333	66.52	32.700001	49.3333333333333	-0.306666666666668	-1.38666666666667	0.299999	-1.66666666666666	35	13
0	39	23.1866666666667	64.6866666666667	33.299999	46	-0.306666666666665	-1.83333333333333	0.599997999999999	-3.33333333333334	35	13
0	30	23.1866666666667	64.6866666666667	33.299999	46	-0.306666666666665	-1.83333333333333	0.599997999999999	-3.33333333333334	35	13
0	42	23.2666666666667	64.44	33.3999986666667	45.3333333333333	-0.0800000000000018	0.353333333333325	0.0999996666666689	-0.666666666666664	35	14
